Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
HongKong,Taipei,809.0km,25.2,16.18%,49.79ms,56.11ms,1.16ms,2022/1/6 15:44
HongKong,thedalles,10681.0km,77.625,75.86%,138.71ms,167.62ms,5.18ms,2022/1/6 15:35
HongKong,DesMoines,12359.0km,92.435,67.17%,184.58ms,187.76ms,0.58ms,2022/1/6 15:12
HongKong,Dallas,13067.0km,93.78,69.88%,187.45ms,187.97ms,0.61ms,2022/1/6 15:11
HongKong,Richmond,12493.0km,98.76,64.50%,192.17ms,193.10ms,0.36ms,2022/1/6 15:29
HongKong,Atlanta,13484.0km,112.775,59.93%,220.68ms,232.65ms,3.24ms,2022/1/6 15:00
HongKong,Columbus,12900.0km,114.89,60.42%,212.91ms,219.11ms,1.23ms,2022/1/6 15:10
HongKong,Eemshaven,9172.0km,108.97,45.46%,201.48ms,201.94ms,0.09ms,2022/1/6 15:16
HongKong,Dublin,9852.0km,128.86,38.33%,257.40ms,258.51ms,0.60ms,2022/1/6 15:13
HongKong,Stghislain,9552.0km,109.135,48.10%,196.58ms,200.22ms,1.03ms,2022/1/6 15:38
HongKong,Hamina,7991.0km,107.215,38.84%,201.70ms,206.58ms,1.45ms,2022/1/6 15:18
Taipei,HongKong,809.0km,25.095,16.18%,49.82ms,52.59ms,0.69ms,2022/1/6 15:18
Taipei,thedalles,9983.0km,103.12,51.82%,190.47ms,191.85ms,0.70ms,2022/1/6 15:35
Taipei,DesMoines,11773.0km,114.44,51.64%,228.10ms,232.82ms,1.21ms,2022/1/6 15:12
Taipei,Dallas,12414.0km,101.49,61.46%,202.86ms,203.14ms,0.24ms,2022/1/6 15:11
Taipei,Richmond,11927.0km,111.92,54.21%,218.56ms,219.57ms,0.67ms,2022/1/6 15:29
Taipei,Atlanta,12931.0km,129.315,50.12%,258.31ms,260.28ms,0.64ms,2022/1/6 15:00
Taipei,Columbus,12387.0km,116.505,57.21%,216.25ms,222.90ms,1.33ms,2022/1/6 15:10
Taipei,Eemshaven,9342.0km,131.58,37.84%,246.72ms,247.00ms,0.32ms,2022/1/6 15:16
Taipei,Dublin,9959.0km,115.215,43.30%,230.10ms,232.58ms,0.51ms,2022/1/6 15:13
Taipei,Stghislain,9736.0km,144.84,36.04%,268.43ms,269.78ms,0.49ms,2022/1/6 15:38
Taipei,Hamina,8125.0km,118.535,35.46%,224.14ms,230.25ms,1.66ms,2022/1/6 15:18
thedalles,HongKong,10544.0km,69.48,76.41%,138.67ms,141.29ms,0.52ms,2022/1/6 15:18
thedalles,Taipei,9846.0km,95.34,51.82%,190.48ms,190.95ms,0.48ms,2022/1/6 15:44
thedalles,DesMoines,2368.0km,26.82,44.68%,53.54ms,53.78ms,0.27ms,2022/1/6 15:12
thedalles,Dallas,2625.0km,23.525,55.85%,46.85ms,47.30ms,0.31ms,2022/1/6 15:11
thedalles,Richmond,2643.0km,31.735,43.69%,58.13ms,58.77ms,0.29ms,2022/1/6 15:29
thedalles,Atlanta,3491.0km,33.43,52.89%,66.70ms,67.21ms,0.29ms,2022/1/6 15:00
thedalles,Columbus,3295.0km,42.175,48.01%,67.78ms,69.20ms,0.42ms,2022/1/6 15:10
thedalles,Eemshaven,8061.0km,87.16,51.13%,157.80ms,160.36ms,0.46ms,2022/1/6 15:16
thedalles,Dublin,7482.0km,76.91,48.90%,153.68ms,154.24ms,0.26ms,2022/1/6 15:13
thedalles,Stghislain,8197.0km,83.695,55.62%,146.25ms,147.30ms,0.43ms,2022/1/6 15:38
thedalles,Hamina,8038.0km,82.25,51.58%,151.41ms,156.85ms,1.78ms,2022/1/6 15:18
DesMoines,HongKong,12359.0km,92.38,67.17%,184.52ms,185.50ms,0.51ms,2022/1/6 15:18
DesMoines,Taipei,11773.0km,114.44,51.64%,228.13ms,233.94ms,1.40ms,2022/1/6 15:44
DesMoines,thedalles,2505.0km,34.48,44.68%,53.42ms,53.83ms,0.18ms,2022/1/6 15:35
DesMoines,Dallas,1019.0km,12.195,42.46%,24.22ms,24.70ms,0.15ms,2022/1/6 15:11
DesMoines,Richmond,322.0km,11.03,13.31%,16.88ms,17.13ms,0.17ms,2022/1/6 15:29
DesMoines,Atlanta,1190.0km,15.39,39.67%,30.64ms,30.97ms,0.19ms,2022/1/6 15:00
