Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Dubrovnik,Durres,km,15.552
Dubrovnik,Russe,691.3km,24.2965,17.60%,34.04ms,68.48ms,6.17ms,2022-01-07 04:06:00
Dubrovnik,Pleven,491.0km,21.404899999999998,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Dubrovnik,Stara-Zagora,560.0km,20.75,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Dubrovnik,Novorossiysk,2930.0km,53.445,21.61%,96.09ms,96.61ms,0.26ms,2022-01-07 04:44:41
Dubrovnik,Skopje,276.0km,36.445,3.51%,53.91ms,54.13ms,0.22ms,2022-01-07 04:35:45
Dubrovnik,Otranto,1061.0km,39.095,9.92%,52.51ms,53.09ms,0.28ms,2022-01-07 04:15:19
Dubrovnik,Bitola,km,13.365
Dubrovnik,Bar,km,15.365
Dubrovnik,Edirne,1006.0km,27.085,20.73%,37.65ms,38.05ms,0.15ms,2022-01-07 04:20:12
Dubrovnik,Kastanies,643.0km,20.165,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Dubrovnik,OPTEGLOBE-TBN,512.0km,28.794999999999998,12.22%,41.37ms,41.65ms,0.19ms,2022-01-07 05:00:44
Dubrovnik,Svilengrad,1044.0km,29.275,20.73%,37.65ms,38.05ms,0.15ms,2022-01-07 04:20:12
Dubrovnik,Genova,1121.0km,27.060000000000002,22.11%,44.51ms,44.79ms,0.26ms,2022-01-07 04:29:05
Dubrovnik,Marseille,1621.0km,44.375,20.11%,65.40ms,65.90ms,0.32ms,2022-01-07 04:26:39
Dubrovnik,Bari,863.0km,36.105000000000004,9.92%,52.51ms,53.09ms,0.28ms,2022-01-07 04:15:19
Dubrovnik,Bologna,871.0km,28.810000000000002,13.09%,53.76ms,54.52ms,0.29ms,2022-01-07 05:00:26
Dubrovnik,Cornwall-Stations,2134.0km,35.375,35.52%,54.52ms,54.66ms,0.07ms,2022-01-07 04:15:57
Dubrovnik,Valery,1797.0km,32.125,33.38%,47.92ms,51.38ms,0.66ms,2022-01-07 04:33:57
Dubrovnik,Derna,2602.0km,53.225,18.40%,87.83ms,91.41ms,0.70ms,2022-01-07 04:07:02
Dubrovnik,Ostend,1706.0km,31.595,34.94%,48.78ms,49.03ms,0.29ms,2022-01-07 04:05:23
Dubrovnik,Blaabjerg,2003.0km,31.775,31.11%,54.23ms,54.42ms,0.23ms,2022-01-07 04:10:52
Dubrovnik,Nicosia,1457.0km,58.54,12.94%,101.94ms,109.35ms,2.59ms,2022-01-07 04:25:03
Dubrovnik,Kilmore-Quay,2472.0km,36.965,38.31%,62.41ms,72.91ms,1.90ms,2022-01-07 04:08:14
Dubrovnik,Penmarch,2193.0km,33.105,33.38%,47.92ms,51.38ms,0.66ms,2022-01-07 04:33:57
Dubrovnik,Kilkis,317.0km,36.925,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Dubrovnik,Haskavo,555.0km,22.725,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Dubrovnik,Komotini,515.0km,32.915,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Dubrovnik,Gevgelija,356.0km,35.12,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Dubrovnik,Petrich,397.0km,30.325,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Dubrovnik,Promachonas,379.0km,37.235,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Dubrovnik,Alexandroupolis,570.0km,29.189999999999998,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Dubrovnik,Kesan,998.0km,30.045,20.73%,37.65ms,38.05ms,0.15ms,2022-01-07 04:20:12
Dubrovnik,Nahariya,1810.0km,49.620000000000005,19.17%,87.88ms,88.28ms,0.12ms,2022-01-07 04:44:53
Dubrovnik,Corfu,km,14.945
Dubrovnik,Chania,827.0km,28.369999999999997,12.22%,41.37ms,41.65ms,0.19ms,2022-01-07 05:00:44
Dubrovnik,Yeroskipos,1436.0km,54.435,12.94%,101.94ms,109.35ms,2.59ms,2022-01-07 04:25:03
